NODE,Æ½¾ùÖµ,NUM=162,NUM=243,NUM=324,NUM=405,NUM=486,NUM=567,NUM=648,NUM=729,NUM=810,NUM=891,NUM=972,NUM=1053,NUM=1134,NUM=1215,NUM=1296,NUM=1377,NUM=1458,NUM=1539,NUM=1620,NUM=1701,NUM=1782,NUM=1863,NUM=1944,NUM=2025,NUM=2106,NUM=2187,NUM=2268,NUM=2349,NUM=2430
C15,35.79310345,25,40,50,55,48,51,45,48,43,39,42,38,36,38,36,33,32,34,32,30,29,28,30,28,27,26,25,24,26
D23,35.68965517,21,31,37,41,36,40,36,40,36,34,39,37,35,39,37,35,34,38,36,35,35,34,38,36,35,36,35,32,37
D31,35.62068966,9,19,26,35,31,36,33,39,37,35,40,37,36,41,38,37,36,40,39,39,38,37,41,39,39,39,39,37,41
B4,34.72413793,4,18,28,40,33,42,37,44,41,38,40,38,36,41,39,37,36,40,37,36,35,34,35,34,34,33,32,31,34
B17,34.06896552,25,37,42,47,39,42,37,41,37,34,37,34,32,36,34,33,32,35,33,32,31,30,32,31,30,29,28,28,30
C27,33.68965517,22,39,47,52,43,47,41,45,40,36,39,36,34,36,34,32,30,32,31,29,28,26,28,27,26,25,24,23,25
D32,33.10344828,6,18,25,32,27,33,30,35,34,32,36,34,33,37,35,34,34,38,37,37,36,35,39,38,37,37,37,35,39
C33,32.37931034,27,41,45,49,42,45,40,42,38,35,37,35,32,34,32,30,28,30,29,27,26,25,27,26,25,24,23,22,23
B3,31.31034483,9,21,30,39,34,39,33,38,35,32,36,34,31,36,34,31,30,34,33,31,30,29,32,31,31,29,28,27,31
B16,30.20689655,21,32,37,40,35,37,32,36,32,30,32,30,28,31,30,29,28,31,30,29,28,27,29,28,28,27,26,25,28
D24,29.4137931,18,24,28,32,28,31,28,31,28,27,31,29,28,31,30,28,28,32,30,30,30,29,33,31,31,32,32,31,32
C17,29.24137931,26,38,43,46,38,41,36,38,34,31,33,31,29,30,29,27,25,27,26,24,23,22,24,23,22,21,20,20,21
D22,28.75862069,22,31,36,39,33,36,32,35,31,29,32,29,28,30,28,27,26,28,27,26,25,25,27,26,26,25,24,24,27
C16,28.72413793,22,35,41,44,37,40,35,38,34,31,33,31,29,30,28,27,25,27,26,24,23,22,24,23,22,21,20,20,21
C28,27.55172414,16,30,37,41,35,38,33,37,33,29,32,30,27,29,28,26,25,27,26,24,23,22,24,23,22,21,20,20,21
C34,25.68965517,25,34,38,40,34,36,31,34,30,27,29,27,25,27,25,24,22,24,22,21,20,19,21,20,19,18,18,17,18
C29,25.4137931,21,32,37,40,33,36,31,34,30,27,29,27,25,27,25,24,22,24,22,21,20,19,21,20,19,18,18,17,18
C22,24.65517241,22,30,35,39,32,35,30,32,29,26,28,26,24,26,24,23,21,23,22,21,20,19,20,19,19,18,17,17,18
B8,21.4137931,14,19,23,26,22,25,22,25,23,21,23,21,20,23,22,21,20,23,22,21,21,20,22,21,21,20,19,19,22
E20,21.4137931,10,16,20,23,20,21,20,23,20,19,22,21,20,23,22,21,22,24,23,23,22,22,24,24,24,23,22,22,25
C23,21.20689655,21,28,31,33,28,30,26,28,25,22,24,22,21,22,21,19,18,19,18,18,17,16,17,16,16,15,15,14,15
B2,21.13793103,4,9,17,23,21,24,22,26,23,22,24,22,20,24,23,22,21,24,24,22,22,21,23,23,22,21,20,21,23
B9,19.68965517,7,15,22,26,22,25,22,26,24,22,23,21,21,25,21,22,22,21,19,19,18,16,20,20,15,14,14,14,15
D21,18.65517241,11,16,18,21,18,19,18,20,18,17,20,18,18,20,19,18,18,20,20,19,18,18,20,20,20,20,19,19,21
B7,17.62068966,11,14,17,20,17,19,18,20,18,17,19,17,16,19,18,17,17,19,19,18,18,17,19,18,18,18,17,17,19
C24,17.55172414,17,23,26,28,23,25,21,23,21,19,20,18,17,18,17,16,15,16,15,15,14,13,14,14,13,12,12,12,12
D20,17.51724138,7,13,16,19,17,18,17,19,17,16,18,17,16,18,17,17,18,20,19,19,18,18,20,19,19,19,18,18,21
D19,17.17241379,11,15,17,19,15,18,16,17,16,17,19,18,17,20,18,18,17,18,18,17,17,16,18,18,18,17,17,17,19
B6,16.82758621,7,11,15,17,16,18,16,18,17,16,18,17,16,19,18,17,17,19,19,18,17,17,19,18,18,18,17,16,19
C30,14.4137931,14,19,21,23,19,20,18,19,17,15,16,15,14,15,14,13,12,13,13,12,11,11,12,11,11,10,10,10,10
C8,14,14,18,21,22,18,20,17,18,16,15,16,15,14,14,14,13,12,13,12,12,11,10,11,11,10,10,10,9,10
B5,13.82758621,7,11,12,14,13,14,13,15,14,13,14,13,13,15,14,14,14,15,15,15,14,14,16,15,15,15,14,14,16
C21,13.37931034,11,17,19,21,17,19,16,18,16,14,15,14,13,14,13,12,12,13,12,11,11,10,11,11,10,10,9,9,10
D18,13.03448276,7,10,12,13,10,12,11,12,12,13,15,13,13,15,14,14,13,14,14,14,13,13,15,14,14,14,14,14,16
C7,10.37931034,10,14,15,16,14,15,13,14,12,11,12,11,10,11,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7
